quizzes,solutions,clue_numbers
628400501307590086100006400003912800080005902001060700012607050005108647004300008,628473591347591286159286473573912864486735912291864735812647359935128647764359128,41
064000800075000004000060270090523106186400023503000090002358609609040350300019742,964275831275831964831964275497523186186497523523186497742358619619742358358619742,41
000009080005801060080007030003000206498162070000735498307008040800416027041273800,762359184935841762184627935573984216498162573216735498327598641859416327641273859,41
009030750832750400001009030980270046000046903106083205500000027690300504027500090,469832751832751469751469832983275146275146983146983275514698327698327514327514698,41
090200600530480917004700350040007091608090005920034068083071000006905040250040170,197253684532486917864719352345867291678192435921534768483671529716925843259348176,41
040000900961405032030690000400038020358209410600100050573806100090053006006910503,745382961961475832832691745417538629358269417629147358573826194194753286286914573,41
020003014600940025900000637009004000140200379250390148000709082400036790701400060,825673914637941825914852637379184256148265379256397148563719482482536791791428563,41
004019000230084950159020400003240509427005016900060020700408100091000845008031007,874519632236784951159326478613247589427895316985163724762458193391672845548931267,41
465007000310980406892645000020503100108090030600718000030009060206051008780400013,465137829317982456892645371924563187178294635653718942531879264246351798789426513,41
240100709005020000010095482600250018020000906030967040050040690083600027060572034,248136759975428163316795482697254318524381976831967245752843691483619527169572834,41
890164570000030140146507800035086701001950060000012930009200357007698000204000000,893164572572839146146527893935486721721953468468712935689241357357698214214375689,41
917508000004071006086003007050480000003600028028739600372106840800000009069800372,917568234234971586586243917651482793793615428428739651372196845845327169169854372,41
830050000471800562065410038003068720006002000120034000690720010750040800004680250,839256174471893562265417938943568721586172349127934685698725413752341896314689257,41
084000700290100305560097081026009850408306007019058020800602109040005200070900530,184563792297184365563297481326719854458326917719458623835672149941835276672941538,41
020017950495820073010490008008000040260008539003260000640002000531649027000030096,826317954495826173317495268178953642264178539953264781649782315531649827782531496,41
005003000042600319000007805280065070000840506536009200408006120693200050127500690,865193742742658319319427865284365971971842536536719284458936127693271458127584693,41
794581063000236094200040008002670040045000007030054180051860070009005806000397001,794581263518236794263749518182673945945128637637954182451862379379415826826397451,41
000000900001935070000400060000200345902304017050871296840710639396500001207000084,784126953621935478539487162178269345962354817453871296845712639396548721217693584,41
020000730070512640409387051830065000056904302040020006610039000790200060005000973,521496738378512649469387251832165497156974382947823516614739825793258164285641973,41
603004080207000563091005027970081346508000700400020058020358070380700000760190005,653274981247819563891635427972581346518463792436927158129358674385746219764192835,41
340020060209075014756034098810259470090740800060001009008500047170803002000400000,341928765289675314756134298813259476592746831467381529938562147174893652625417983,41
894753002000908073070060400040020860000030000702681349037210006020896034680004000,894753612216948573375162498943527861168439257752681349437215986521896734689374125,41
000400062840263000006510894000985000090034000460072500005340620904720158002001940,751498362849263715326517894217985436598634271463172589185349627934726158672851943,41
060309705030750612870001094010904800497005020086000047020080060650093470740006000,162349785934758612875621394213974856497865123586132947329487561651293478748516239,41
000030002080057431130682000090140005041065703560790048018029300920004800473000000,759431682286957431134682957397148265841265793562793148618529374925374816473816529,41
206849307480030200070000008800500000164903705002604009000251600000460973040307512,216849357489735261375126498893572146164983725752614839937251684521468973648397512,41
700500948000130602620080703050008001847003200010052004470200589508074100062005400,731526948984137652625489713259748361847613295316952874473261589598374126162895437,41
930640070640502938500900040380010009029300015010020006864000003050200864203800107,938641572641572938572938641386415729729386415415729386864157293157293864293864157,41
004281060063704100820693075096000084080906050007802000000005007605478002748100030,574281369963754128821693475196537284482916753357842691219365847635478912748129536,41
150000070200500690080327100418090002005008006003205400046902017501486009002701804,154869273237514698689327145418693752725148936963275481846932517571486329392751864,41
600003000002648000090702048105027900027900000980130420251000069004069051309251070,648593712712648593593712648135427986427986135986135427251874369874369251369251874,41
069300702000496130008007649806200090001974080940860021004130070023750064700000000,469381752572496138318527649836215497251974386947863521684132975123759864795648213,41
008470230400293518209500060690028000070009002382100690920000700803010920000962800,518476239467293518239581467694328175175649382382157694926835741853714926741962853,41
530070810010360029900000600370802061100790080284001900740008090600000100851036247,536279814418365729927184635379842561165793482284651973742518396693427158851936247,41
000000860008013024400009050009002400213040980074805300006051237090300048732408091,351274869968513724427689153589132476213746985674895312846951237195327648732468591,41
050320400060107058000895203603002800000609127701000300015000732086070500207051089,859326471362147958174895263693712845548639127721584396415968732986273514237451689,41
031052084084301560500000931810230640640000320000060010153700090400513006070900100,931652784784391562562874931819235647647189325325467819153726498498513276276948153,41
005978001079016520010042900027100406001063002064000190058091000196030870000057010,245978361879316524613542987527189436981463752364725198758691243196234875432857619,41
000802697060035281820006043004000060278000054639000008346150972000700400000364005,453812697967435281821976543514287369278693154639541728346158972185729436792364815,41
000401070075682310014000820740025103100904000000310040000703002037250681000160437,826431975975682314314597826749825163163974258258316749681743592437259681592168437,41
217300005000721060083405701070200000830000910046910083021040500795130006400079030,217368495954721368683495721179283654832654917546917283321846579795132846468579132,41
000009605000030000092856703256783104030941060019620300000368000700090806683100200,374219685568437921192856743256783194837941562419625378925368417741592836683174259,41
054000213300400870078000409237100060005730104090008002589607040103980600720001080,954876213312459876678213459237194568865732194491568732589627341143985627726341985,41
030862000028504003745010062003281050560007080000450397090640030300120048080030020,139862574628574913745913862973281456564397281812456397291648735357129648486735129,41
230014007067920418000750329003401096010690080050000000080160930000530802090048061,239814657567923418148756329823471596714695283956382174482167935671539842395248761,41
810403706540067910000189005200910630000020091000006870080000203050000080362871459,819453726543267918627189345278915634436728591195346872781594263954632187362871459,41
061020804700610000050840630098001020200080016070050048040035289503008407809006103,361529874784613592952847631498761325235984716176352948647135289513298467829476153,41
000042071400108905010509240000903402004007000690204700801005620230481090975006080,359642871462178935718539246587963412124857369693214758841795623236481597975326184,41
694007500305040000012800096003060050857000620026578000430090075000005834571080902,694127583385946217712853496943261758857439621126578349438692175269715834571384962,41
001390246024000003390620708167089300032167005000000070203040109000000002018253460,871395246624871953395624718167589324432167895589432671253746189746918532918253467,41
016900008920080000048700200000270549000095810050130027002809001601007984800013752,716952438925384176348761295183276549267495813459138627572849361631527984894613752,41
619000002080900704370200160000500406090040003006007085031052090257060340908130527,619473852582916734374285169723598416895641273146327985431752698257869341968134527,41
860020301209000800300605090001290700034051960020304510690042035100060420072003080,865429371249137856317685294581296743734851962926374518698742135153968427472513689,41
100005020000074001000960305000610509006309478953000000701590840384020056095400217,169835724538274691472961385847612539216359478953748162721596843384127956695483217,41
009730016140890270700060009400010020000476001591080647000041800014358002300027004,859732416146895273723164589467519328238476951591283647672941835914358762385627194,41
310029040900080130408003000009600000123800654000230800090470365630910487007006901,316729548972584136458163792789645213123897654564231879291478365635912487847356921,41
790065038100382070320009506987000000501200800203978400039400160470000000600893040,794165238156382974328749516987514623541236897263978451839457162475621389612893745,41
700000010010047028600305000490082136006500207207601400000470000870003951362150074,749826513513947628628315749495782136136594287287631495951478362874263951362159874,41
000620000507938210000540300800192600704800920190760000370089000200416053410370090,938621475547938216621547389853192647764853921192764538375289164289416753416375892,41
003009140510783206020514030000050023008072619072060584007206901000100070100000302,783629145514783296629514837961458723458372619372961584847236951236195478195847362,41
135000000604082130872010090008430006900508341341290750507000009200150400003009500,135964872694782135872315694758431926926578341341296758517643289289157463463829517,41
009150003000020400023064851000003080040089175080500302507492618600700290204800030,469158723851327469723964851175243986342689175986571342537492618618735294294816537,41
945200873378090621000700549760803902003000160059000084004000718090180400800050000,945216873378495621126738549761843952483529167259671384534962718692187435817354296,41
603158004470236050805704206067820409040000020080010070100000562056001047030002080,623158794479236158815794236367825419941673825582419673198347562256981347734562981,41
406000520900510364150000089069800205080050603004030810607180030040067158000003970,436798521978512364152346789369871245781254693524639817697185432243967158815423976,41
903260004006087359408035012139000000062500931504003007000054196090070040000019008,953261874216487359478935612139726485762548931584193267827354196691872543345619728,41
365497000010530074904200365009005740008304000743912608200008030001043090000009500,365497812812536974974281365129865743658374129743912658297158436581643297436729581,41
501043706400097100060050040000309020075104000609705481702008600340002805150406070,521843796483697152967251348814369527275184963639725481792518634346972815158436279,41
007601003394807602260900005905082030600795008012000059106009000720000004400278061,587621943394857612261934875975182436643795128812463759136549287728316594459278361,41
462900000030624900090010002280095013000062450009001820057000094900073168010200537,462957381831624975795318642286495713173862459549731826357186294924573168618249537,41
059432000203000900061098002384201079975800001000000080030005894008326705007904030,859432167243617958761598342384261579975843621126759483632175894498326715517984236,41
010049203840200750036005890621570930074900600000020040000167400450090100167000320,715849263849236751236715894621574938574983612983621547392167485458392176167458329,41
674003820009020640802600503050008006003416075000000238148069000320084709006050004,674593821539821647812647593957238416283416975461975238148769352325184769796352184,41
700350602001049503350001097004800061875130009036900750400090006000012900507080120,749358612261749583358261497924875361875136249136924758412597836683412975597683124,41
486135020700406001130020604060050002354001008091807453070000310003002000500003276,486135927729486531135729684867354192354291768291867453672548319913672845548913276,41
071206059089370026200589701100627004600050300950100200000010070003402185010700040,371246859589371426246589731138627594627954318954138267492815673763492185815763942,41
000059704592046183000130200708905002050020037206000900600080029000007518005402376,381259764592746183467138295738915642159624837246873951673581429924367518815492376,41
