quizzes,solutions,clue_numbers
087003206001526000602800000000008000000000300070100000104002000060040500035000000,987413256341526789652879143513268974826794315479135628194352867768941532235687491,24
002000000705000006000230000006001003000003000300609700001005970563900000000080300,632597418795418236814236597956741823147823659328659741281365974563974182479182365,24
800000000004081002020000000608075090000309000009400001000002060300000125000906000,871253946964781532523694817648175293715329684239468751487512369396847125152936478,24
900608000030100000000005019401560300050007000090010002005003800300000000100000003,914628735537149268862375419481562397256937184793814652675493821349281576128756943,24
000097000005400709000600040500200000060500020010006053000010006796000200000000080,432197865685423719179658342543271698968534127217986453854312976796845231321769584,24
000000000000708100000020000510060003843150007000400000900670000080500004004030900,478315296296748135135926478519267843843159627627483519952674381381592764764831952,24
000600059509000000000050002020100900090000005605000004040010890900006000050800020,832641759579382641461759382324165978798234165615978234246517893983426517157893426,24
000900000002400093000000040079000000000354000034020000050200010023080600800006300,641935287782461593395872146279618435168354972534729861456293718923187654817546329,24
000000090000709506000000000160208050000005000079300000095104008000000060008500340,356412897214789536987653124163248759842975613579361482695134278431827965728596341,24
087000000060200580040000000000600000010007056056002008000190000000308605800000001,587961342169243587342785169738659214214837956956412738675194823491328675823576491,24
500000900100000000200000300060030010001000700070001009859063000000000030023004590,536427981198356472247918365965732814481695723372841659859263147714589236623174598,24
000002030600708024004000000070000900000036000000000000200000000806204300351000247,789142635635798124124653789478521963512936478963487512247315896896274351351869247,24
200700000060030000000604000004020000002010000001000002016000800040278010000169300,253781469469532178178694253594327681732816594681945732916453827345278916827169345,24
020096457040000000610050008060700000000000000004000009000384900408000070000000380,823196457745238196619457238362719845971845623584623719157384962438962571296571384,24
000000005000005000000304908000000406500246000020980003000000050107000000302009087,234698715968175234715324968891753426573246891426981573649817352187532649352469187,24
031400000005610000000000100300841000800200000000060000000009860168000090500106000,631478529925613784487952136356841972814297653279365418742539861168724395593186247,24
000000200800506000000719004500007602000000001060000000340000008009871000000640020,917438265834526197625719384591387642783264951462195873346952718259871436178643529,24
094700000703000049605104008000000301009010020008000000000800003030050000001000900,194783652783625149625194738572469381469318527318572496956841273237956814841237965,24
540630008020000000900500030030800407806007250070000060000020080000040000000700000,547632918623918574981574632235861497816497253479253861354126789798345126162789345,24
093060000007030002006070030009207003001840500300000000000000600000704009008001000,593162478847935162216478935659217843721843596384596217472389651165724389938651724,24
000007000004000063000005000000040800000590310005003004008070005502016000000200081,819637542254981763376425198631742859427598316985163274168374925592816437743259681,24
850600030200000080001008000100000000080000010029030040500207603000010000702300000,854672931276193584391458726135784269487926315629531847518247693963815472742369158,24
000437000040008950000000300430006010020001000000054000050740090000003007004000030,519437286743628951862195374435276819627981543198354762351742698986513427274869135,24
000017530009003080500400000907000008400000010010000060825000000300000040740030000,684917532179253684532468179967321458458796213213845967825674391391582746746139825,24
000000000000030740000856201300408065000001000500000000000080300000204000080603402,132947658856132749947856231329478165478561923561329874294785316613294587785613492,24
000000050005938760406150800098000103010680000040000006000000000000200000000003600,983467251125938764476152839698574123312689475547321986831796542769245318254813697,24
040000000000000086006000009230509000000740030600382051005000003020000005090000800,549867312312495786786123549238519674951746238674382951465278193827931465193654827,24
076040000000000000003000000000003060009000108300090040045019000760008390000607400,576841923184932756293765814457183269629574138318296547845319672762458391931627485,24
000000104000000760706000023300900050800005070420000010000000940600500200050000001,532876194149352768786419523367981452891245376425637819273168945618594237954723681,24
590000000000000000000670085000000500802001000709500000900800000010059002280130050,598214673367985214421673985146397528852461397739528461975842136613759842284136759,24
007000000002600700000090000000000000400070023708025000020453060679001300500000000,987512436152634798364897215235946871496178523718325649821453967679281354543769182,24
100329007000000048600018000000100920000000000002073005000700080008900000027050000,184329657293567148675418239736185924851294763942673815419732586568941372327856491,24
350000100000003000000214000000000460000030020280040070003000054100400003500060700,356798142412653987897214536739182465645937821281546379963871254178425693524369718,24
000003070000001084040000090000057000007009006230000001000000500000032400070910208,921483675756291384843576192468157923517329846239648751382764519195832467674915238,24
000000060000000000310800000040300026000028000208070000500000007070003602020784009,459132768687549231312867945745391826931628574268475193593216487874953612126784359,24
010870003000390000050201700500010000680000100000000000000004206340600000200000041,412876953768395412953241768534712689689453127127968534895134276341627895276589341,24
670000009000002008000600140090058016000209000080100900000000400060904080900000000,678431259413592768529687143294758316136249875785163924852376491367914582941825637,24
400800020000000034020000005608500307090400001000073000210000000800020000000600012,436851729581297634927346185648512397793468251152973846219734568865129473374685912,24
000008000820060001005000000000950200059000007000876190000000309580000700000200008,413728956827569431965314872678951243159432687234876195742685319586193724391247568,24
000007410601000008000001020070050003006030000000000100060900040003000000100625930,952387416641592378837461529478156293516239784329748165265973841793814652184625937,24
009302070080190360000078190000000009073040006000000030702000000018000000000700000,159362478487195362326478195561237849273849516894516237742981653918653724635724981,24
601500003000320410300600780200006000000005072004000600705000860000000000000008000,641587923578329416392614785237196548169845372854273691725931864486752139913468257,24
901540030000000000000000000000002070500003002200065000002857000005901260093000000,921546738654378129837219456318492675576183942249765813462857391785931264193624587,24
000000070020000100500030800000090002060100400900000317000067040030010208109000000,391248675428756193576931824713894562265173489984625317852367941637419258149582736,24
043000020100802050000030000054100200709000000008000100900008040070020090000600700,543961827196872453287435916654197238719283564328546179965718342871324695432659781,24
320140057000000000040500600000002001930010005000000000790000008005790106000000300,326148957579326814148579632857932461932614785614857293793261548485793126261485379,24
000001805000058000000309000050000700040000300103080000006020090300006002080005017,639741825471258936528369174952613748847592361163487259716824593395176482284935617,24
300000400000000106007600500704000380005400000001003200060000009000056800080010600,316825497258794136947631528724169385835472961691583274563248719179356842482917653,24
060000700000004030020700000050008013106200000049000005000080401004370000900400000,468123759597864132321795846752948613136257984849631275273589461614372598985416327,24
000000870010000053000503142070051000000040060000000030009000080031820000000900300,395412876214786953687593142976351428153248769842679531569134287431827695728965314,24
000000740900000203000000560000087006170002050000400001094200035001500400000000000,312956748965874213847321569459187326178632954623495871794218635281563497536749182,24
004000106916002000000600204000900000000320009060800703700060302000000000000000860,824735196916482537357691284273956418148327659569814723795168342681243975432579861,24
600000070200078060000001020000000400960080000173090502387000009002000040000000000,631429875249578163758361924825713496964285317173694582387146259592837641416952738,24
700000410000009005500021097300100070000000050000000000008000539003060040100000086,739856412241379865586421397365182974812947653497635128628714539953268741174593286,24
000002804000006003100500090000000000098061000016000940040000001800013000601000700,967132854584976213123548697352489176498761532716325948245897361879613425631254789,24
006000003000106040000000017060800000000010380400000001000960508005000090000305102,716498253352176849948532617169843725527619384483257961271964538835721496694385172,24
002300000000005000700006500038009260000000008004003000005004006000007400040600735,852371649469285173713946582538719264197462358624853917375194826286537491941628735,24
000304507000100000400000080300285604500040000064000000000000070600850020000002060,812364597957128346436579182379285614528641739164793258241936875693857421785412963,24
000960020000000000204000000060700050530090000400800000006080913852300006000004000,315967824679428135284531769961742358538196247427853691746285913852319476193674582,24
240010070009007002000023090900078000700000000006000080001000000400000356600040010,243819675189657432567423891914578263758236149326194587871365924492781356635942718,24
005009000200000560130600020001760000740000000000310000000006002560000041003001000,675289413298143567134657829381764295746925138952318674417596382569832741823471956,24
091008000700900208000647090080000900006300000009800070000000000003400710008000020,391528467764913258852647193485761932176392584239854671917235846523486719648179325,24
000610900005480060600305042000000000060000400201709300000000006000020000026070000,482617935395482167617395842538241679769538421241769358973854216854126793126973584,24
000000100000206804000000000090001400050008000800900000010897523000000900009302001,948735162573216894621489357397521486152648739864973215416897523235164978789352641,24
000270430702000500000500200000000002000012080020600090000003040000900057009000023,695271438712438569384569271846795312957312684123684795571823946238946157469157823,24
400000000051030046000602075000000700000000060017003450900000004006000890000090600,462571938751839246389642175693254781524187369817963452978326514236415897145798623,24
000000970000005060040000000050020000000400206600810043900070020070030019000000708,583642971197385462246791835354926187718453296629817543961578324875234619432169758,24
200080043030002010060000000000000050094000000300900008710009080003058000805000004,259681743437592816168374925682713459594826137371945268716439582943258671825167394,24
809003600000908000307006800000002000100000000296070000060200500002005000530400000,829713645645928317317546829453692178178354296296871453964287531782135964531469782,24
370609045000040000000700000003097000000800001000030200051000000407000010000018074,372689145968145723514723689143297856729856431685431297851374962437962518296518374,24
004000000096000500008000004000904200000000005800500009081005000940103650500000800,134852976796431528258697314675914283419328765823576149381265497947183652562749831,24
300960000000050000901704000603009070019040000000003201070000409000000007092000000,358961742724358916961724385683219574219547638547683291875136429136492857492875163,24
000890402000004560000000008900500600700000000010000020840050109000900807009000200,561893472398274561472165398984527613725316984613489725847652139256931847139748256,24
002008093001004000040000000000069500290000034000300000600050040407003000005000069,562718493781934652943526871374269518296185734158347926639852147417693285825471369,24
006127000400080100000040000000000900020060000040000530904000251000400076000001400,896127345453689127271345689187532964325964718649718532934876251512493876768251493,24
000070032000008540300005609090050060000000007010080200100000020046000005200003000,451976832769238541382145679897352164523461987614789253135694728946827315278513496,24
800090300700500000250000010900240000004006009000000020000001000000905804092004060,846197352719532648253468917975243186324816579681759423438671295167925834592384761,24
000009008008000070000800015000000102002000306040080700000025090007004061003060000,215479638638512974974836215759643182182957346346281759861725493527394861493168527,24
510460000002000000008010006000000090846030000030000800020900030984100050000000900,517462389462398571398517426251846793846739215739251864625984137984173652173625948,24
070090000324008569600004000000000000000400203800007000200080090003900000000006078,178695432324178569695324817469832751517469283832517946246783195783951624951246378,24
000010400000000008520000001002000100050200800008100040003041000005000006290360004,789613452316425978524987631472839165651274893938156247863541729145792386297368514,24
000607004067400950342000000000004009030900008000006500000000097000000400009008030,915687324867432951342195876286354719534971268791826543428513697153769482679248135,24
000000294090000000000904005000007069004300807008000000200000080059800002301000900,516738294492165378873924615135287469964351827728649531247596183659813742381472956,24
020003000060800030100000520006205000000000050052300000289530040600000000005000080,528713964964852137137496528896275413413689752752341896289537641641928375375164289,24
070000638001600900003000000000006000360009002005080000039020800000090024000001003,974215638251638947683947215128376459367459182495182376739524861816793524542861793,24
050800000400905000610000709306400007000630000004000020060000000003007001000106040,759861432432975618618243759326459187187632594594718326261394875943587261875126943,24
090000000230074090000001830020800004067400321000100700300000200000000000902000000,591238476238674195674591832123867954867459321459123768386745219745912683912386547,24
280400030001000208703009000000002000000010000000000020100005080900076350300048000,289461735461753298753289416637592841592814673814637529176325984948176352325948167,24
000000530000000000380607412006000324000060000000000000008076200507000800002400006,679142538124358967385697412856719324243865179791234685438576291567921843912483756,24
000000002000748630900020000040900070090000000000406905030572000000000020052060000,478693152215748639963125784346951278591287463827436915139572846684319527752864391,24
070038420000000000000040001050090083020600910000003000010009600907000000200400070,175938426642571398839246751456197283328654917791823564514789632987362145263415879,24
700009000001076009003050000200001008605708000080400500079200000800000000040000030,768349152521876349493152876234561798615798423987423561379214685856937214142685937,24
090068000000139400000000003000013900000000701700000000040000010600070349000300608,193468572572139486486527193825713964964852731731946825349685217658271349217394658,24
100050000004200070020300000040065290680000304000401000000000400450000021000000060,137654982564298173928317546341865297685729314279431658896172435453986721712543869,24
030040008000108309000000006900000080001083207000000400090005002060800000080970000,239746158476158329518329746927461583641583297853297461794615832165832974382974615,24
000000049900003000071090000040200000805930000000081090000012584008000200000800000,236157849984623715571498362349276158815934627762581493693712584458369271127845936,24
010000970000040000800000240000000320300006100079000000086010030400000000520067009,214358976967142853835679241658791324342586197179423685786914532491235768523867419,24
005000029000056000700820000001000000000080004000000700009063270300200091000001403,615347829982156347734829156461732985273985614598614732159463278346278591827591463,24
000000000000002080486003075000000700300020000200560040001085000000604107004001000,572846391193752684486913275658439712349127856217568943731285469825694137964371528,24
090504076000010000004736000503071000000002060002600780000080000020000000000100009,198524376376918254254736198563871942781492563942653781617289435829345617435167829,24
