quizzes,solutions,clue_numbers
160030005200760308008000017000000100004090003803010000070006032600200040052004809,167839425245761398938542617796328154514697283823415976471986532689253741352174869,31
000071000308006009090480025080010007003004010020039000004000001865092000000340806,652971384348526179197483625486215937973864512521739468734658291865192743219347856,31
400000500700104980680007000300750012010000058000010093500060009908205300060800000,431986527725134986689527134396758412214693758857412693542361879978245361163879245,31
100003090000081000300009000703052080250108374060000900532000000407030009690000003,184573692926481537375629418743952186259168374861347925532896741417235869698714253,31
500600070000310864000020130000000000601090023350000900000400390004032051230061000,513684279927315864486729135798253416641897523352146987165478392874932651239561748,31
150800007000060200004010008007000009400607530005900726000000003526000970000470052,152893467983764215674512398267135849498627531315948726749256183526381974831479652,31
003500090280000406645080007000200008450000000090001020064805710000003205000109003,713546892289317456645982137136254978452798361897631524364825719971463285528179643,31
048000600730000800106004007805000000610500000000360520000030080500249703007100290,248973651739615842156824937825497316613582479974361528492736185581249763367158294,31
002000000690250001081369050050400010000900700000000030836000147017003090905001000,542178963693254871781369452359427618168935724274816539836592147417683295925741386,31
003700200700000050002030879804006900060005000050040120406100093030400000100073040,513789264798624351642531879874216935261395487359847126486152793937468512125973648,31
049050806715062009800000700008405000450106208160000000000600000930040000000003504,349751826715862349826394715298435167453176298167289453574618932932547681681923574,31
902800000068000010007009804009000021000501986000900403000007002700000090003198607,912864735468735219537219864689473521374521986125986473891647352746352198253198647,31
510000000900001000760302050000089001800000040050640002007900005200714860000503017,514876293923451678768392154476289531892135746351647982147968325235714869689523417,31
009600000000400519020910300010090760600000800083060145040009600060000050008730001,159683274836472519724915386415398762672541893983267145241859637367124958598736421,31
052900000710002400040000032001000060000600300670001080007580000069007003583009210,352948176716352498948716532231895764895674321674231985127583649469127853583469217,31
000056000204000060850004900189600034400000000005400001010908425900000100042007080,791856342234791568856234917189625734473189256625473891317968425968542173542317689,31
006170050001000600500080000150348000000007215000010040900024036000800701000700524,896172453721453689534689172152348967483967215679215348917524836245836791368791524,31
908000070000030560100000039050300086081700920000000007203000005890010340007240600,938165274472938561165472839754329186681754923329681457243896715896517342517243698,31
000000020048100300536204910001300700005420000400000800659030104000600000800701009,197563428248179356536284917961358742385427691472916835659832174714695283823741569,31
759634080030080900002750030300800000590000620000000043010400000000018504400060009,759634281634182957182759436347826195591347628826591743918475362263918574475263819,31
007000045400600310039000620002010000890000031071048000000005000700180400000037198,267391845485672319139854627652713984894526731371948562918465273723189456546237198,31
500700300004508000700060502009000120002000060800052490647280900200900004005000030,528791346364528719791364582479836125152479863836152497647283951283915674915647238,31
007080000802006003000347000200060000049000610050470008060795300304000957000004080,437182569812956473596347821283561794749823615651479238168795342324618957975234186,31
